input_sizes,output_layouts
"[(69, 214), (117, 241), (60, 143), (174, 192), (153, 294), (122, 209), (51, 160)]","[(239, 560, 308, 560, 308, 774, 239, 774), (73, 81, 190, 81, 190, 322, 73, 322), (258, 108, 318, 108, 318, 251, 258, 251), (174, 583, 348, 583, 348, 775, 174, 775), (748, 395, 901, 395, 901, 689, 748, 689), (253, 210, 375, 210, 375, 419, 253, 419), (567, 826, 618, 826, 618, 986, 567, 986)]"
"[(279, 252), (167, 216), (148, 249), (70, 163)]","[(161, 334, 440, 334, 440, 586, 161, 586), (641, 466, 808, 466, 808, 682, 641, 682), (553, 655, 701, 655, 701, 904, 553, 904), (109, 833, 179, 833, 179, 996, 109, 996)]"
"[(283, 232), (255, 291), (222, 208), (83, 53), (226, 132), (193, 68), (110, 229), (139, 157)]","[(698, 49, 981, 49, 981, 281, 698, 281), (389, 708, 644, 708, 644, 999, 389, 999), (753, 701, 975, 701, 975, 909, 753, 909), (776, 693, 859, 693, 859, 746, 776, 746), (204, 862, 430, 862, 430, 994, 204, 994), (305, 248, 498, 248, 498, 316, 305, 316), (529, 491, 639, 491, 639, 720, 529, 720), (9, 456, 148, 456, 148, 613, 9, 613)]"
"[(179, 246)]","[(154, 157, 333, 157, 333, 403, 154, 403)]"
"[(258, 103), (209, 290), (70, 206), (226, 273)]","[(53, 34, 311, 34, 311, 137, 53, 137), (451, 659, 660, 659, 660, 949, 451, 949), (678, 75, 748, 75, 748, 281, 678, 281), (171, 708, 397, 708, 397, 981, 171, 981)]"
"[(227, 185), (85, 208), (224, 87), (97, 177)]","[(607, 69, 834, 69, 834, 254, 607, 254), (61, 653, 146, 653, 146, 861, 61, 861), (743, 835, 967, 835, 967, 922, 743, 922), (226, 263, 323, 263, 323, 440, 226, 440)]"
"[(259, 67), (115, 136), (251, 103), (235, 190), (120, 196), (69, 123), (286, 260), (211, 54), (62, 242), (264, 88)]","[(432, 436, 691, 436, 691, 503, 432, 503), (368, 462, 483, 462, 483, 598, 368, 598), (324, 73, 575, 73, 575, 176, 324, 176), (673, 633, 908, 633, 908, 823, 673, 823), (319, 734, 439, 734, 439, 930, 319, 930), (697, 576, 766, 576, 766, 699, 697, 699), (691, 542, 977, 542, 977, 802, 691, 802), (83, 817, 294, 817, 294, 871, 83, 871), (726, 339, 788, 339, 788, 581, 726, 581), (607, 757, 871, 757, 871, 845, 607, 845)]"
"[(183, 241), (60, 170), (160, 222)]","[(248, 318, 431, 318, 431, 559, 248, 559), (931, 79, 991, 79, 991, 249, 931, 249), (183, 444, 343, 444, 343, 666, 183, 666)]"
"[(141, 274), (57, 92), (57, 148), (112, 134), (191, 211), (55, 82), (225, 184), (205, 71)]","[(561, 128, 702, 128, 702, 402, 561, 402), (802, 391, 859, 391, 859, 483, 802, 483), (460, 617, 517, 617, 517, 765, 460, 765), (425, 810, 537, 810, 537, 944, 425, 944), (711, 53, 902, 53, 902, 264, 711, 264), (697, 405, 752, 405, 752, 487, 697, 487), (449, 383, 674, 383, 674, 567, 449, 567), (293, 266, 498, 266, 498, 337, 293, 337)]"
"[(118, 109), (200, 162), (230, 277), (180, 129), (143, 101), (129, 255), (291, 194), (247, 178), (77, 209), (198, 284), (253, 228), (249, 259)]","[(512, 831, 630, 831, 630, 940, 512, 940), (118, 145, 318, 145, 318, 307, 118, 307), (50, 41, 280, 41, 280, 318, 50, 318), (633, 833, 813, 833, 813, 962, 633, 962), (787, 558, 930, 558, 930, 659, 787, 659), (410, 572, 539, 572, 539, 827, 410, 827), (202, 782, 493, 782, 493, 976, 202, 976), (681, 505, 928, 505, 928, 683, 681, 683), (458, 518, 535, 518, 535, 727, 458, 727), (461, 579, 659, 579, 659, 863, 461, 863), (238, 62, 491, 62, 491, 290, 238, 290), (691, 265, 940, 265, 940, 524, 691, 524)]"
"[(139, 89), (122, 132), (82, 276), (239, 70), (74, 106), (289, 284)]","[(613, 829, 752, 829, 752, 918, 613, 918), (133, 352, 255, 352, 255, 484, 133, 484), (63, 442, 145, 442, 145, 718, 63, 718), (208, 617, 447, 617, 447, 687, 208, 687), (101, 140, 175, 140, 175, 246, 101, 246), (491, 643, 780, 643, 780, 927, 491, 927)]"
"[(221, 292), (135, 60), (116, 226)]","[(216, 518, 437, 518, 437, 810, 216, 810), (22, 681, 157, 681, 157, 741, 22, 741), (727, 630, 843, 630, 843, 856, 727, 856)]"
"[(184, 132)]","[(736, 104, 920, 104, 920, 236, 736, 236)]"
"[(107, 71), (139, 283), (230, 158), (103, 77), (155, 95), (154, 265)]","[(652, 438, 759, 438, 759, 509, 652, 509), (404, 614, 543, 614, 543, 897, 404, 897), (692, 541, 922, 541, 922, 699, 692, 699), (896, 825, 999, 825, 999, 902, 896, 902), (813, 243, 968, 243, 968, 338, 813, 338), (439, 62, 593, 62, 593, 327, 439, 327)]"
"[(208, 121), (202, 102), (192, 231), (197, 115)]","[(547, 17, 755, 17, 755, 138, 547, 138), (239, 855, 441, 855, 441, 957, 239, 957), (538, 156, 730, 156, 730, 387, 538, 387), (126, 349, 323, 349, 323, 464, 126, 464)]"
"[(271, 162), (276, 176), (280, 232), (253, 296), (131, 214), (132, 132), (179, 210), (157, 154), (67, 146), (155, 144)]","[(176, 213, 447, 213, 447, 375, 176, 375), (505, 217, 781, 217, 781, 393, 505, 393), (612, 644, 892, 644, 892, 876, 612, 876), (209, 323, 462, 323, 462, 619, 209, 619), (258, 118, 389, 118, 389, 332, 258, 332), (304, 351, 436, 351, 436, 483, 304, 483), (809, 102, 988, 102, 988, 312, 809, 312), (191, 457, 348, 457, 348, 611, 191, 611), (401, 622, 468, 622, 468, 768, 401, 768), (785, 147, 940, 147, 940, 291, 785, 291)]"
"[(139, 140), (90, 169)]","[(215, 210, 354, 210, 354, 350, 215, 350), (855, 809, 945, 809, 945, 978, 855, 978)]"
"[(156, 236), (70, 274), (298, 226), (264, 92), (165, 213), (279, 179)]","[(230, 75, 386, 75, 386, 311, 230, 311), (305, 487, 375, 487, 375, 761, 305, 761), (340, 374, 638, 374, 638, 600, 340, 600), (603, 215, 867, 215, 867, 307, 603, 307), (310, 715, 475, 715, 475, 928, 310, 928), (391, 103, 670, 103, 670, 282, 391, 282)]"
"[(231, 299), (111, 184), (219, 214), (179, 284), (222, 139), (123, 135)]","[(662, 519, 893, 519, 893, 818, 662, 818), (119, 700, 230, 700, 230, 884, 119, 884), (687, 694, 906, 694, 906, 908, 687, 908), (314, 197, 493, 197, 493, 481, 314, 481), (356, 809, 578, 809, 578, 948, 356, 948), (669, 164, 792, 164, 792, 299, 669, 299)]"
"[(243, 195), (157, 177), (275, 253), (258, 297), (282, 123), (255, 231), (268, 227), (268, 294), (101, 93), (292, 206), (81, 275)]","[(340, 480, 583, 480, 583, 675, 340, 675), (29, 338, 186, 338, 186, 515, 29, 515), (269, 511, 544, 511, 544, 764, 269, 764), (377, 601, 635, 601, 635, 898, 377, 898), (41, 380, 323, 380, 323, 503, 41, 503), (605, 462, 860, 462, 860, 693, 605, 693), (427, 261, 695, 261, 695, 488, 427, 488), (68, 169, 336, 169, 336, 463, 68, 463), (796, 536, 897, 536, 897, 629, 796, 629), (254, 199, 546, 199, 546, 405, 254, 405), (548, 651, 629, 651, 629, 926, 548, 926)]"
"[(198, 148), (170, 89), (167, 155), (157, 242), (147, 71), (139, 244), (128, 125), (50, 203), (94, 56), (68, 158), (267, 238)]","[(44, 528, 242, 528, 242, 676, 44, 676), (34, 157, 204, 157, 204, 246, 34, 246), (554, 805, 721, 805, 721, 960, 554, 960), (637, 485, 794, 485, 794, 727, 637, 727), (292, 451, 439, 451, 439, 522, 292, 522), (83, 255, 222, 255, 222, 499, 83, 499), (775, 596, 903, 596, 903, 721, 775, 721), (881, 501, 931, 501, 931, 704, 881, 704), (717, 622, 811, 622, 811, 678, 717, 678), (656, 255, 724, 255, 724, 413, 656, 413), (40, 88, 307, 88, 307, 326, 40, 326)]"
"[(290, 70), (268, 194), (93, 121), (193, 294)]","[(508, 294, 798, 294, 798, 364, 508, 364), (249, 322, 517, 322, 517, 516, 249, 516), (36, 631, 129, 631, 129, 752, 36, 752), (89, 389, 282, 389, 282, 683, 89, 683)]"
"[(156, 136), (66, 108), (74, 110), (170, 68), (293, 235), (173, 268), (75, 219), (166, 178), (121, 213)]","[(421, 516, 577, 516, 577, 652, 421, 652), (191, 74, 257, 74, 257, 182, 191, 182), (616, 19, 690, 19, 690, 129, 616, 129), (345, 101, 515, 101, 515, 169, 345, 169), (76, 705, 369, 705, 369, 940, 76, 940), (361, 613, 534, 613, 534, 881, 361, 881), (620, 498, 695, 498, 695, 717, 620, 717), (727, 148, 893, 148, 893, 326, 727, 326), (857, 338, 978, 338, 978, 551, 857, 551)]"
"[(98, 244), (205, 115), (264, 54), (128, 91), (228, 178), (109, 290), (236, 230), (235, 114), (277, 176), (179, 211), (299, 91), (299, 115)]","[(30, 503, 128, 503, 128, 747, 30, 747), (790, 509, 995, 509, 995, 624, 790, 624), (164, 292, 428, 292, 428, 346, 164, 346), (34, 543, 162, 543, 162, 634, 34, 634), (304, 655, 532, 655, 532, 833, 304, 833), (37, 165, 146, 165, 146, 455, 37, 455), (718, 581, 954, 581, 954, 811, 718, 811), (42, 877, 277, 877, 277, 991, 42, 991), (31, 42, 308, 42, 308, 218, 31, 218), (606, 519, 785, 519, 785, 730, 606, 730), (459, 816, 758, 816, 758, 907, 459, 907), (39, 129, 338, 129, 338, 244, 39, 244)]"
"[(290, 192), (229, 125)]","[(97, 184, 387, 184, 387, 376, 97, 376), (126, 824, 355, 824, 355, 949, 126, 949)]"
"[(147, 299), (63, 223), (128, 104), (210, 108), (202, 235), (198, 145), (160, 56), (100, 149), (105, 278), (209, 146), (298, 283)]","[(699, 701, 846, 701, 846, 1000, 699, 1000), (153, 78, 216, 78, 216, 301, 153, 301), (571, 698, 699, 698, 699, 802, 571, 802), (272, 789, 482, 789, 482, 897, 272, 897), (489, 197, 691, 197, 691, 432, 489, 432), (741, 7, 939, 7, 939, 152, 741, 152), (136, 456, 296, 456, 296, 512, 136, 512), (605, 666, 705, 666, 705, 815, 605, 815), (299, 537, 404, 537, 404, 815, 299, 815), (266, 113, 475, 113, 475, 259, 266, 259), (423, 442, 721, 442, 721, 725, 423, 725)]"
"[(72, 263), (219, 55), (264, 161)]","[(516, 716, 588, 716, 588, 979, 516, 979), (353, 905, 572, 905, 572, 960, 353, 960), (223, 407, 487, 407, 487, 568, 223, 568)]"
"[(228, 224), (143, 229), (227, 272), (277, 93), (88, 108)]","[(671, 693, 899, 693, 899, 917, 671, 917), (253, 180, 396, 180, 396, 409, 253, 409), (468, 389, 695, 389, 695, 661, 468, 661), (186, 6, 463, 6, 463, 99, 186, 99), (555, 337, 643, 337, 643, 445, 555, 445)]"
"[(94, 235), (129, 136), (181, 211), (143, 133), (53, 144), (204, 104), (262, 257), (118, 76), (205, 267), (217, 272)]","[(492, 537, 586, 537, 586, 772, 492, 772), (179, 742, 308, 742, 308, 878, 179, 878), (404, 105, 585, 105, 585, 316, 404, 316), (546, 30, 689, 30, 689, 163, 546, 163), (494, 580, 547, 580, 547, 724, 494, 724), (180, 159, 384, 159, 384, 263, 180, 263), (89, 54, 351, 54, 351, 311, 89, 311), (57, 26, 175, 26, 175, 102, 57, 102), (542, 290, 747, 290, 747, 557, 542, 557), (670, 89, 887, 89, 887, 361, 670, 361)]"
"[(173, 270), (266, 251), (91, 129), (166, 92), (225, 121), (235, 102), (269, 256), (222, 60), (148, 178)]","[(91, 218, 264, 218, 264, 488, 91, 488), (388, 269, 654, 269, 654, 520, 388, 520), (156, 304, 247, 304, 247, 433, 156, 433), (817, 345, 983, 345, 983, 437, 817, 437), (252, 111, 477, 111, 477, 232, 252, 232), (51, 524, 286, 524, 286, 626, 51, 626), (281, 149, 550, 149, 550, 405, 281, 405), (553, 447, 775, 447, 775, 507, 553, 507), (673, 259, 821, 259, 821, 437, 673, 437)]"
"[(69, 101), (187, 113), (93, 254), (182, 101), (286, 246), (213, 151), (201, 140), (172, 64)]","[(598, 585, 667, 585, 667, 686, 598, 686), (198, 743, 385, 743, 385, 856, 198, 856), (828, 478, 921, 478, 921, 732, 828, 732), (548, 845, 730, 845, 730, 946, 548, 946), (639, 656, 925, 656, 925, 902, 639, 902), (436, 579, 649, 579, 649, 730, 436, 730), (720, 804, 921, 804, 921, 944, 720, 944), (270, 134, 442, 134, 442, 198, 270, 198)]"
"[(153, 72), (88, 210), (98, 281), (266, 129)]","[(588, 156, 741, 156, 741, 228, 588, 228), (725, 46, 813, 46, 813, 256, 725, 256), (83, 42, 181, 42, 181, 323, 83, 323), (517, 40, 783, 40, 783, 169, 517, 169)]"
"[(138, 279), (254, 198), (58, 296)]","[(687, 705, 825, 705, 825, 984, 687, 984), (713, 782, 967, 782, 967, 980, 713, 980), (890, 231, 948, 231, 948, 527, 890, 527)]"
"[(213, 285), (56, 50), (222, 182), (68, 102), (230, 185), (238, 277), (114, 257), (253, 152), (174, 263), (103, 196)]","[(705, 642, 918, 642, 918, 927, 705, 927), (477, 308, 533, 308, 533, 358, 477, 358), (477, 330, 699, 330, 699, 512, 477, 512), (548, 206, 616, 206, 616, 308, 548, 308), (3, 542, 233, 542, 233, 727, 3, 727), (174, 576, 412, 576, 412, 853, 174, 853), (684, 659, 798, 659, 798, 916, 684, 916), (426, 548, 679, 548, 679, 700, 426, 700), (36, 214, 210, 214, 210, 477, 36, 477), (541, 470, 644, 470, 644, 666, 541, 666)]"
"[(62, 167), (150, 268), (75, 186), (64, 275), (121, 270), (105, 299)]","[(899, 577, 961, 577, 961, 744, 899, 744), (161, 312, 311, 312, 311, 580, 161, 580), (260, 177, 335, 177, 335, 363, 260, 363), (65, 644, 129, 644, 129, 919, 65, 919), (363, 372, 484, 372, 484, 642, 363, 642), (25, 403, 130, 403, 130, 702, 25, 702)]"
"[(228, 232), (167, 225), (293, 114), (57, 269), (85, 154), (129, 270), (75, 140), (260, 92), (259, 239)]","[(209, 436, 437, 436, 437, 668, 209, 668), (821, 72, 988, 72, 988, 297, 821, 297), (548, 752, 841, 752, 841, 866, 548, 866), (628, 694, 685, 694, 685, 963, 628, 963), (430, 562, 515, 562, 515, 716, 430, 716), (168, 166, 297, 166, 297, 436, 168, 436), (307, 485, 382, 485, 382, 625, 307, 625), (270, 524, 530, 524, 530, 616, 270, 616), (177, 546, 436, 546, 436, 785, 177, 785)]"
"[(271, 95), (153, 81), (81, 230), (147, 133)]","[(293, 470, 564, 470, 564, 565, 293, 565), (783, 506, 936, 506, 936, 587, 783, 587), (684, 431, 765, 431, 765, 661, 684, 661), (506, 660, 653, 660, 653, 793, 506, 793)]"
"[(119, 270), (236, 224), (223, 221), (208, 247), (265, 278)]","[(225, 615, 344, 615, 344, 885, 225, 885), (39, 319, 275, 319, 275, 543, 39, 543), (248, 640, 471, 640, 471, 861, 248, 861), (30, 553, 238, 553, 238, 800, 30, 800), (113, 469, 378, 469, 378, 747, 113, 747)]"
"[(212, 191), (70, 271), (72, 106), (185, 164), (162, 205), (154, 222), (211, 145), (288, 277), (199, 202), (264, 203), (113, 106), (271, 81)]","[(398, 531, 610, 531, 610, 722, 398, 722), (377, 137, 447, 137, 447, 408, 377, 408), (324, 375, 396, 375, 396, 481, 324, 481), (88, 257, 273, 257, 273, 421, 88, 421), (153, 419, 315, 419, 315, 624, 153, 624), (787, 774, 941, 774, 941, 996, 787, 996), (650, 127, 861, 127, 861, 272, 650, 272), (420, 698, 708, 698, 708, 975, 420, 975), (27, 111, 226, 111, 226, 313, 27, 313), (37, 56, 301, 56, 301, 259, 37, 259), (885, 50, 998, 50, 998, 156, 885, 156), (162, 820, 433, 820, 433, 901, 162, 901)]"
"[(108, 117), (59, 192), (203, 198), (116, 219)]","[(647, 331, 755, 331, 755, 448, 647, 448), (255, 617, 314, 617, 314, 809, 255, 809), (294, 629, 497, 629, 497, 827, 294, 827), (433, 460, 549, 460, 549, 679, 433, 679)]"
"[(131, 186), (189, 257), (68, 268)]","[(87, 462, 218, 462, 218, 648, 87, 648), (471, 578, 660, 578, 660, 835, 471, 835), (846, 652, 914, 652, 914, 920, 846, 920)]"
"[(298, 220), (283, 227), (216, 187), (104, 103)]","[(649, 330, 947, 330, 947, 550, 649, 550), (350, 472, 633, 472, 633, 699, 350, 699), (635, 678, 851, 678, 851, 865, 635, 865), (36, 437, 140, 437, 140, 540, 36, 540)]"
"[(102, 181), (62, 260), (259, 282), (296, 269), (148, 260), (165, 175), (294, 254), (215, 172), (99, 150), (120, 134), (102, 56)]","[(580, 811, 682, 811, 682, 992, 580, 992), (881, 361, 943, 361, 943, 621, 881, 621), (417, 556, 676, 556, 676, 838, 417, 838), (264, 241, 560, 241, 560, 510, 264, 510), (317, 266, 465, 266, 465, 526, 317, 526), (115, 88, 280, 88, 280, 263, 115, 263), (193, 482, 487, 482, 487, 736, 193, 736), (405, 94, 620, 94, 620, 266, 405, 266), (810, 713, 909, 713, 909, 863, 810, 863), (758, 120, 878, 120, 878, 254, 758, 254), (543, 253, 645, 253, 645, 309, 543, 309)]"
"[(66, 221)]","[(344, 666, 410, 666, 410, 887, 344, 887)]"
"[(86, 101), (130, 200), (198, 173), (243, 178), (215, 108), (298, 200), (66, 187), (230, 237), (138, 256), (67, 170), (76, 284)]","[(156, 885, 242, 885, 242, 986, 156, 986), (418, 375, 548, 375, 548, 575, 418, 575), (302, 549, 500, 549, 500, 722, 302, 722), (218, 638, 461, 638, 461, 816, 218, 816), (515, 92, 730, 92, 730, 200, 515, 200), (636, 332, 934, 332, 934, 532, 636, 532), (331, 685, 397, 685, 397, 872, 331, 872), (174, 338, 404, 338, 404, 575, 174, 575), (327, 27, 465, 27, 465, 283, 327, 283), (560, 182, 627, 182, 627, 352, 560, 352), (497, 599, 573, 599, 573, 883, 497, 883)]"
"[(217, 129), (143, 182), (217, 281), (106, 105), (133, 156), (78, 101), (201, 231), (151, 136)]","[(96, 628, 313, 628, 313, 757, 96, 757), (501, 173, 644, 173, 644, 355, 501, 355), (570, 420, 787, 420, 787, 701, 570, 701), (545, 173, 651, 173, 651, 278, 545, 278), (653, 114, 786, 114, 786, 270, 653, 270), (740, 288, 818, 288, 818, 389, 740, 389), (186, 466, 387, 466, 387, 697, 186, 697), (731, 97, 882, 97, 882, 233, 731, 233)]"
"[(82, 286), (261, 172), (74, 100), (182, 188), (152, 86), (120, 177), (215, 85), (165, 275), (248, 208), (60, 106)]","[(824, 669, 906, 669, 906, 955, 824, 955), (529, 181, 790, 181, 790, 353, 529, 353), (854, 618, 928, 618, 928, 718, 854, 718), (110, 634, 292, 634, 292, 822, 110, 822), (586, 190, 738, 190, 738, 276, 586, 276), (6, 504, 126, 504, 126, 681, 6, 681), (7, 328, 222, 328, 222, 413, 7, 413), (143, 587, 308, 587, 308, 862, 143, 862), (718, 319, 966, 319, 966, 527, 718, 527), (330, 889, 390, 889, 390, 995, 330, 995)]"
"[(143, 254), (89, 58), (207, 136), (163, 212), (260, 112), (76, 154), (280, 299), (68, 69)]","[(490, 278, 633, 278, 633, 532, 490, 532), (327, 273, 416, 273, 416, 331, 327, 331), (782, 576, 989, 576, 989, 712, 782, 712), (388, 19, 551, 19, 551, 231, 388, 231), (715, 712, 975, 712, 975, 824, 715, 824), (734, 379, 810, 379, 810, 533, 734, 533), (148, 277, 428, 277, 428, 576, 148, 576), (269, 406, 337, 406, 337, 475, 269, 475)]"
"[(84, 130), (94, 118), (65, 93), (229, 156), (263, 145), (86, 263), (190, 128), (96, 227)]","[(118, 562, 202, 562, 202, 692, 118, 692), (159, 465, 253, 465, 253, 583, 159, 583), (184, 416, 249, 416, 249, 509, 184, 509), (345, 448, 574, 448, 574, 604, 345, 604), (22, 257, 285, 257, 285, 402, 22, 402), (822, 257, 908, 257, 908, 520, 822, 520), (783, 54, 973, 54, 973, 182, 783, 182), (845, 397, 941, 397, 941, 624, 845, 624)]"
"[(116, 134), (59, 153), (294, 288), (254, 179), (203, 148), (198, 249), (104, 52), (126, 194)]","[(523, 81, 639, 81, 639, 215, 523, 215), (875, 495, 934, 495, 934, 648, 875, 648), (554, 675, 848, 675, 848, 963, 554, 963), (38, 643, 292, 643, 292, 822, 38, 822), (774, 385, 977, 385, 977, 533, 774, 533), (673, 368, 871, 368, 871, 617, 673, 617), (740, 674, 844, 674, 844, 726, 740, 726), (497, 615, 623, 615, 623, 809, 497, 809)]"
"[(72, 87), (165, 188), (197, 195), (87, 189), (281, 139), (153, 272), (252, 186), (145, 215), (88, 181), (84, 243), (148, 144), (217, 251)]","[(684, 656, 756, 656, 756, 743, 684, 743), (460, 536, 625, 536, 625, 724, 460, 724), (744, 227, 941, 227, 941, 422, 744, 422), (62, 462, 149, 462, 149, 651, 62, 651), (19, 733, 300, 733, 300, 872, 19, 872), (610, 466, 763, 466, 763, 738, 610, 738), (43, 320, 295, 320, 295, 506, 43, 506), (333, 252, 478, 252, 478, 467, 333, 467), (887, 178, 975, 178, 975, 359, 887, 359), (366, 329, 450, 329, 450, 572, 366, 572), (278, 231, 426, 231, 426, 375, 278, 375), (239, 724, 456, 724, 456, 975, 239, 975)]"
"[(87, 195), (178, 240)]","[(425, 104, 512, 104, 512, 299, 425, 299), (495, 401, 673, 401, 673, 641, 495, 641)]"
"[(93, 127), (185, 257), (169, 221), (160, 165)]","[(128, 221, 221, 221, 221, 348, 128, 348), (317, 649, 502, 649, 502, 906, 317, 906), (190, 89, 359, 89, 359, 310, 190, 310), (149, 67, 309, 67, 309, 232, 149, 232)]"
"[(123, 109), (127, 90), (76, 56), (99, 247), (276, 185), (144, 223), (202, 203)]","[(300, 289, 423, 289, 423, 398, 300, 398), (504, 101, 631, 101, 631, 191, 504, 191), (814, 253, 890, 253, 890, 309, 814, 309), (868, 398, 967, 398, 967, 645, 868, 645), (186, 493, 462, 493, 462, 678, 186, 678), (184, 185, 328, 185, 328, 408, 184, 408), (386, 161, 588, 161, 588, 364, 386, 364)]"
"[(118, 94), (211, 125), (183, 164), (215, 220), (139, 278), (83, 209), (219, 264)]","[(5, 425, 123, 425, 123, 519, 5, 519), (674, 830, 885, 830, 885, 955, 674, 955), (367, 686, 550, 686, 550, 850, 367, 850), (665, 527, 880, 527, 880, 747, 665, 747), (492, 355, 631, 355, 631, 633, 492, 633), (817, 651, 900, 651, 900, 860, 817, 860), (72, 71, 291, 71, 291, 335, 72, 335)]"
"[(203, 245), (141, 228)]","[(558, 386, 761, 386, 761, 631, 558, 631), (441, 0, 582, 0, 582, 228, 441, 228)]"
"[(70, 105), (148, 123), (272, 110), (127, 143)]","[(867, 29, 937, 29, 937, 134, 867, 134), (850, 820, 998, 820, 998, 943, 850, 943), (494, 571, 766, 571, 766, 681, 494, 681), (224, 687, 351, 687, 351, 830, 224, 830)]"
"[(292, 76), (76, 251), (50, 133), (66, 243), (222, 281), (201, 251), (277, 85), (192, 151), (195, 95), (209, 237), (199, 175), (70, 223)]","[(595, 788, 887, 788, 887, 864, 595, 864), (191, 338, 267, 338, 267, 589, 191, 589), (881, 118, 931, 118, 931, 251, 881, 251), (459, 374, 525, 374, 525, 617, 459, 617), (722, 255, 944, 255, 944, 536, 722, 536), (631, 355, 832, 355, 832, 606, 631, 606), (140, 698, 417, 698, 417, 783, 140, 783), (326, 783, 518, 783, 518, 934, 326, 934), (605, 58, 800, 58, 800, 153, 605, 153), (47, 277, 256, 277, 256, 514, 47, 514), (187, 645, 386, 645, 386, 820, 187, 820), (385, 246, 455, 246, 455, 469, 385, 469)]"
"[(73, 152), (254, 160), (209, 134)]","[(656, 557, 729, 557, 729, 709, 656, 709), (304, 151, 558, 151, 558, 311, 304, 311), (629, 485, 838, 485, 838, 619, 629, 619)]"
"[(155, 252), (266, 194), (108, 159)]","[(737, 133, 892, 133, 892, 385, 737, 385), (169, 390, 435, 390, 435, 584, 169, 584), (256, 416, 364, 416, 364, 575, 256, 575)]"
"[(237, 283), (271, 126), (74, 154), (285, 64)]","[(533, 341, 770, 341, 770, 624, 533, 624), (29, 701, 300, 701, 300, 827, 29, 827), (728, 231, 802, 231, 802, 385, 728, 385), (77, 409, 362, 409, 362, 473, 77, 473)]"
"[(213, 137), (300, 300), (87, 173), (215, 91), (176, 176), (227, 278), (91, 260), (90, 54), (169, 299), (160, 232)]","[(197, 583, 410, 583, 410, 720, 197, 720), (359, 450, 659, 450, 659, 750, 359, 750), (795, 573, 882, 573, 882, 746, 795, 746), (610, 627, 825, 627, 825, 718, 610, 718), (788, 773, 964, 773, 964, 949, 788, 949), (579, 36, 806, 36, 806, 314, 579, 314), (741, 155, 832, 155, 832, 415, 741, 415), (110, 63, 200, 63, 200, 117, 110, 117), (300, 515, 469, 515, 469, 814, 300, 814), (470, 286, 630, 286, 630, 518, 470, 518)]"
"[(75, 51), (245, 90), (271, 213), (242, 113), (160, 134), (74, 120), (244, 114), (117, 221)]","[(33, 396, 108, 396, 108, 447, 33, 447), (73, 738, 318, 738, 318, 828, 73, 828), (398, 462, 669, 462, 669, 675, 398, 675), (128, 25, 370, 25, 370, 138, 128, 138), (4, 567, 164, 567, 164, 701, 4, 701), (866, 181, 940, 181, 940, 301, 866, 301), (653, 444, 897, 444, 897, 558, 653, 558), (103, 314, 220, 314, 220, 535, 103, 535)]"
"[(248, 174), (116, 265), (249, 299), (278, 238)]","[(706, 770, 954, 770, 954, 944, 706, 944), (449, 715, 565, 715, 565, 980, 449, 980), (616, 112, 865, 112, 865, 411, 616, 411), (272, 607, 550, 607, 550, 845, 272, 845)]"
"[(272, 291)]","[(50, 41, 322, 41, 322, 332, 50, 332)]"
"[(143, 165), (55, 247), (204, 187), (73, 273), (187, 99), (207, 248), (218, 107)]","[(503, 551, 646, 551, 646, 716, 503, 716), (32, 375, 87, 375, 87, 622, 32, 622), (474, 440, 678, 440, 678, 627, 474, 627), (321, 587, 394, 587, 394, 860, 321, 860), (340, 154, 527, 154, 527, 253, 340, 253), (556, 654, 763, 654, 763, 902, 556, 902), (421, 301, 639, 301, 639, 408, 421, 408)]"
"[(51, 116), (205, 115), (234, 199), (119, 207), (246, 74), (236, 271), (292, 256), (98, 74)]","[(70, 289, 121, 289, 121, 405, 70, 405), (507, 286, 712, 286, 712, 401, 507, 401), (8, 53, 242, 53, 242, 252, 8, 252), (369, 564, 488, 564, 488, 771, 369, 771), (445, 876, 691, 876, 691, 950, 445, 950), (428, 638, 664, 638, 664, 909, 428, 909), (279, 707, 571, 707, 571, 963, 279, 963), (419, 234, 517, 234, 517, 308, 419, 308)]"
"[(265, 194), (130, 278), (254, 202), (253, 221), (107, 270), (92, 259), (222, 114), (228, 108), (219, 78)]","[(383, 414, 648, 414, 648, 608, 383, 608), (216, 344, 346, 344, 346, 622, 216, 622), (36, 2, 290, 2, 290, 204, 36, 204), (308, 84, 561, 84, 561, 305, 308, 305), (797, 721, 904, 721, 904, 991, 797, 991), (524, 50, 616, 50, 616, 309, 524, 309), (680, 746, 902, 746, 902, 860, 680, 860), (505, 33, 733, 33, 733, 141, 505, 141), (34, 519, 253, 519, 253, 597, 34, 597)]"
"[(100, 184), (224, 85)]","[(391, 797, 491, 797, 491, 981, 391, 981), (211, 467, 435, 467, 435, 552, 211, 552)]"
"[(208, 215), (176, 214), (299, 209), (120, 149)]","[(72, 265, 280, 265, 280, 480, 72, 480), (388, 42, 564, 42, 564, 256, 388, 256), (44, 52, 343, 52, 343, 261, 44, 261), (363, 646, 483, 646, 483, 795, 363, 795)]"
